string	string	string	bool	bool
Joystick	Xbox	Ps4	IsAxis	IsInvert
虚拟杆按键	Xbox 按键	Ps4 按键	是否是轴	是否反转轴 (Ps4)
Joystick1Button0	A	Square	0	0
Joystick1Button1	B	Cross	0	0
Joystick1Button2	X	Circle	0	0
Joystick1Button3	Y	Triangle	0	0
Joystick1Button4	LB	L1	0	0
Joystick1Button5	RB	R1	0	0
Joystick1Button6	Back	L2	0	0
Joystick1Button7	Start	R2	0	0
Joystick1Button8	LeftStickClick	Share	0	0
Joystick1Button9	RightStickClick	Options	0	0
Joystick1Button10		LeftStickClick	0	0
Joystick1Button11		RightStickClick	0	0
Joystick1Button12		PlayStation	0	0
Joystick1Button13		TouchPad	0	0
x axis	LeftStickHorizontal	LeftStickHorizontal	1	0
y axis	LeftStickVertical	LeftStickVertical	1	0
3rd axis	Triggers	RightStickHorizontal	1	0
4th axis	RightStickHorizontal		1	0
5th axis	RightStickVertical		1	0
6th axis	D-Pad Horizontal	RightStickVertical	1	1
7th axis	D-Pad Vertical	D-Pad Horizontal	1	0
8th axis		D-Pad Vertical	1	0
9th axis	LT		1	0
10th axis	RT		1	0
